amount,amount_to_avg_ratio,amount_to_max_ratio,is_new_beneficiary,beneficiary_age_days,beneficiary_verified,txn_hour,is_unusual_hour,txn_frequency_24h,txn_velocity_1h,user_avg_amount,user_median_amount,user_max_amount,user_total_txns,user_typical_ben_count,user_txn_freq_per_week,days_since_last_txn,is_new_device,device_trusted,recent_password_change,recent_sim_swap,recent_email_change,recent_pin_change,account_events_48h,recent_beneficiary_additions_24h,hive_recipient_flagged,hive_signal_severity,hive_hours_since_alert,hive_scam_category_match,recipient_suspicious_neighbor_count,is_fraud
4821.58,1.41,0.61,1,22,0,18,0,0,3,3418.53,3315.27,7895.73,190,15,4.5,8,0,0,0,0,0,0,2,0,0,0,-1,0,1,0
20200.19,12.08,3.6,0,26,1,20,0,4,0,1672.28,202.94,5616.26,224,14,8.0,2,0,0,0,0,0,0,2,1,0,0,-1,0,1,0
1311.04,0.71,0.32,1,254,1,0,0,5,3,1843.72,575.27,4037.55,106,16,4.5,10,0,1,0,0,0,0,1,0,0,0,-1,0,1,0
319.12,0.25,0.06,0,306,1,23,0,2,3,1251.69,1149.53,5269.99,122,4,4.9,7,0,1,0,0,0,0,2,1,0,0,-1,0,2,0
35262.7,19.47,8.21,1,0,0,19,0,3,2,1811.3,324.58,4294.45,235,10,2.8,5,1,0,1,0,1,0,5,5,0,0,-1,0,1,1
5735.39,9.95,4.9,1,0,0,1,0,4,4,576.36,1610.04,1169.62,185,12,3.0,8,1,0,1,1,1,0,4,5,0,0,-1,0,2,1
59346.5,110.95,43.67,1,0,0,17,0,4,3,534.88,1343.83,1358.89,98,12,5.8,5,1,0,1,0,0,0,2,2,0,0,-1,0,1,1
34942.81,12.45,5.16,1,0,0,17,0,7,5,2806.4,362.78,6769.53,80,16,7.6,8,1,0,1,1,0,0,2,5,0,0,-1,0,2,1
74100.49,64.28,22.35,1,0,0,0,0,2,3,1152.86,905.21,3315.59,49,20,5.0,4,1,0,1,0,0,0,0,1,0,0,-1,0,3,1
257.78,0.28,0.09,1,279,1,0,0,2,2,936.33,159.96,2896.51,4,13,7.2,2,1,1,1,0,0,0,0,1,0,0,-1,0,1,0
7613.78,1.59,0.35,1,10,0,15,0,5,3,4782.33,685.71,21563.01,19,5,7.3,4,1,0,1,0,0,1,1,2,0,0,-1,0,1,0
1359.03,2.51,0.95,0,140,1,2,0,5,1,542.41,1084.91,1427.94,47,8,2.4,5,0,0,0,0,0,0,1,2,0,0,-1,0,1,0
112236.27,6.75,1.11,0,174,1,21,0,2,3,16634.32,624.99,101012.64,112,12,3.5,6,0,0,0,0,0,0,2,1,0,0,-1,0,0,0
48657.57,20.75,7.02,1,0,0,6,0,3,2,2345.32,629.87,6929.72,25,12,5.2,12,1,0,1,0,1,0,3,4,0,0,-1,0,0,1
110785.36,4.55,1.11,0,713,1,2,0,3,3,24370.75,199.22,99706.82,292,17,6.8,5,1,0,0,0,0,0,0,2,0,0,-1,0,1,0
189.38,0.21,0.05,0,108,0,11,0,3,1,911.27,997.75,3767.49,154,19,1.0,12,0,1,0,0,0,0,2,1,0,0,-1,0,0,0
26169.04,12.44,3.2,0,42,0,13,0,3,1,2104.39,499.39,8186.59,92,8,3.4,1,0,0,0,0,1,0,0,2,0,0,-1,0,1,0
1570.65,0.88,0.36,0,262,1,19,0,4,2,1781.88,1710.48,4398.55,32,9,5.8,14,0,1,0,0,0,0,1,1,0,0,-1,0,1,0
17647.52,11.52,5.61,0,63,0,7,0,3,3,1531.57,1103.4,3144.89,193,11,3.9,5,0,0,0,0,0,0,2,1,0,0,-1,0,0,0
533.55,1.16,0.34,0,218,1,19,0,3,2,460.88,370.69,1546.99,164,7,3.4,8,1,1,0,0,0,0,0,0,0,0,-1,0,2,0
26747.08,11.34,5.23,0,42,0,4,0,1,0,2359.01,1202.47,5113.91,16,13,7.2,8,0,0,0,0,0,1,2,0,0,0,-1,0,1,0
46438.0,2.44,0.81,0,462,1,23,0,4,1,19070.1,339.31,57210.29,295,3,7.6,11,0,0,0,0,1,0,2,1,0,0,-1,0,0,0
132874.46,7.34,1.11,0,446,1,23,0,1,0,18095.84,148.75,119587.01,111,20,4.3,1,0,1,0,0,0,1,1,0,0,0,-1,0,0,0
27326.21,13.68,4.62,1,0,0,20,0,3,5,1996.92,1196.6,5916.41,191,11,3.6,3,1,0,1,1,1,0,2,4,0,0,-1,0,2,1
78552.61,29.25,10.55,0,12,0,9,0,4,3,2685.56,632.41,7448.41,159,2,1.6,4,0,0,0,0,0,0,0,3,1,3,1,1,4,1
68509.65,96.4,38.23,0,13,0,16,0,1,0,710.7,428.67,1792.06,228,11,2.6,0,0,1,0,0,0,0,2,3,1,3,18,0,5,1
28720.43,16.03,4.31,0,49,0,12,1,5,2,1791.87,299.01,6657.74,154,16,1.0,12,0,1,1,0,0,1,0,1,0,0,-1,0,0,0
439.04,0.49,0.23,0,30,1,5,0,5,3,895.01,1351.98,1883.36,160,8,7.2,9,0,0,0,0,0,0,0,1,0,0,-1,0,0,0
21700.21,2.67,0.89,0,519,1,23,0,4,1,8138.11,162.14,24414.34,279,4,1.5,7,0,0,0,0,1,0,0,2,0,0,-1,0,0,0
9033.33,2.08,0.54,0,76,1,16,1,0,0,4336.78,650.78,16655.34,241,5,2.1,4,0,1,0,0,0,0,0,2,0,0,-1,0,1,0
408.41,0.58,0.29,0,111,1,22,0,0,3,698.72,784.06,1427.81,213,4,5.4,5,0,1,0,0,0,1,1,1,0,0,-1,0,0,0
245.9,0.13,0.05,0,194,1,23,0,0,0,1914.38,936.53,5097.47,96,11,4.1,12,0,1,0,0,0,0,2,1,0,0,-1,0,2,0
40349.21,2.94,0.98,0,288,1,14,0,4,3,13709.29,171.04,41127.88,81,20,5.2,1,1,1,0,0,0,0,1,1,0,0,-1,0,2,0
59227.57,24.33,6.65,0,10,0,18,0,2,0,2434.53,617.25,8900.41,93,2,5.4,1,0,1,1,0,0,0,0,3,1,4,45,1,6,1
16218.99,23.54,8.29,1,0,0,19,1,7,3,689.05,565.75,1955.7,162,12,4.2,8,1,0,1,0,0,0,4,5,0,0,-1,0,0,1
39943.11,23.43,9.61,1,0,0,10,0,7,4,1705.06,824.63,4157.67,197,11,2.1,12,1,0,1,0,0,1,3,1,0,0,-1,0,2,1
348.36,0.32,0.12,1,273,1,22,0,4,3,1079.9,278.03,2793.48,219,15,2.3,5,1,0,0,0,0,0,1,2,0,0,-1,0,0,0
109444.71,4.9,1.11,0,157,1,22,0,0,1,22350.64,925.06,98500.24,213,13,4.8,14,1,0,1,1,0,0,2,0,0,0,-1,0,0,0
56728.03,30.2,13.81,1,0,0,13,0,6,4,1878.53,641.26,4108.98,39,11,6.8,13,1,0,1,0,1,0,5,1,0,0,-1,0,0,1
110.77,0.11,0.05,0,53,1,14,0,4,3,1025.07,469.07,2128.3,74,18,7.4,5,0,1,0,0,0,0,0,2,0,0,-1,0,2,0
450.49,0.56,0.12,1,261,1,20,0,1,3,798.88,204.93,3743.51,89,13,6.7,1,0,1,1,0,0,0,1,2,0,0,-1,0,1,0
111984.88,5.82,1.11,0,323,1,8,0,0,1,19249.36,1719.96,100786.39,41,2,5.2,5,0,0,0,0,0,0,2,0,0,0,-1,0,1,0
99728.17,9.59,1.11,0,498,1,1,0,4,2,10395.45,885.33,89755.35,48,18,0.6,4,0,0,0,0,0,0,2,1,0,0,-1,0,1,0
929.46,0.55,0.14,1,53,1,6,1,4,0,1696.81,467.97,6764.57,235,4,1.6,0,0,1,0,0,0,0,0,2,0,0,-1,0,1,0
209.17,0.17,0.04,0,111,1,8,0,0,0,1244.54,1106.49,5215.67,58,14,7.7,7,0,0,0,0,0,0,2,1,0,0,-1,0,0,0
258.25,0.14,0.06,0,66,1,8,0,2,2,1808.23,366.5,4324.3,27,2,5.6,12,0,1,0,0,0,0,2,1,0,0,-1,0,1,0
60337.84,140.98,47.72,0,9,0,1,0,3,0,427.99,1273.0,1264.43,120,20,2.3,5,0,1,0,0,0,0,0,2,1,3,21,0,6,1
76071.82,3.05,1.02,0,556,1,12,0,4,0,24958.53,1179.14,74875.58,132,8,2.6,8,0,1,0,1,0,1,0,2,0,0,-1,0,1,0
25937.29,9.04,2.83,0,27,0,4,0,1,2,2867.79,599.68,9158.53,152,14,3.4,9,0,0,0,0,0,0,1,2,0,0,-1,0,1,0
458.56,0.35,0.11,1,168,1,22,0,3,2,1294.85,247.66,4238.65,206,9,2.2,13,0,0,0,0,1,1,0,1,0,0,-1,0,1,0
28627.24,12.98,4.39,1,0,0,7,0,5,2,2205.97,275.72,6515.05,165,11,5.8,6,1,0,1,1,1,1,4,3,1,0,-1,0,0,1
1136.9,1.09,0.43,0,290,0,2,0,2,0,1039.74,2151.25,2663.83,54,10,1.3,14,0,0,0,0,0,0,1,1,0,0,-1,0,1,0
29326.29,10.16,2.27,1,90,0,12,0,1,3,2887.52,2063.91,12905.36,190,16,2.0,10,0,1,0,0,0,1,1,2,0,0,-1,0,1,0
94084.74,47.74,20.35,0,3,0,8,0,1,1,1970.67,290.81,4624.34,33,11,1.8,9,1,1,0,0,0,0,1,0,1,4,32,0,3,1
72597.32,106.38,52.83,0,2,0,5,0,4,1,682.42,453.67,1374.17,238,6,3.8,8,0,1,0,0,0,0,1,2,1,2,6,1,6,1
73913.87,100.58,38.37,1,0,0,0,1,2,2,734.91,2637.37,1926.24,49,10,4.0,1,0,1,1,0,0,0,0,2,0,0,-1,0,3,1
68370.14,5.83,1.11,0,690,1,0,0,1,1,11734.79,529.39,61533.13,153,16,2.5,7,0,1,0,0,0,0,1,2,0,0,-1,0,0,0
548.23,0.51,0.18,0,103,1,2,0,3,3,1071.37,3200.2,3128.25,64,17,5.3,7,1,0,0,0,0,0,2,1,0,0,-1,0,2,0
19275.18,13.95,3.85,0,8,0,15,0,0,1,1381.86,2884.41,5004.33,72,20,5.4,4,0,0,0,0,0,0,2,1,1,3,39,0,2,1
373.4,0.88,0.23,1,299,1,9,0,5,3,422.17,455.51,1655.34,187,2,5.7,3,0,1,0,0,0,0,0,1,0,0,-1,0,2,0
684.64,0.41,0.08,0,226,1,15,1,0,3,1665.99,1162.32,8193.94,112,19,5.4,2,0,1,0,0,0,0,0,1,0,0,-1,0,1,0
734.47,0.45,0.2,0,54,0,10,0,1,3,1617.23,621.15,3594.97,184,4,3.8,4,0,1,0,0,0,0,2,1,0,0,-1,0,2,0
27413.16,65.54,32.93,1,0,0,2,0,1,2,418.28,444.79,832.45,192,3,1.5,8,0,1,0,0,0,0,1,1,0,0,-1,0,3,1
12326.34,0.95,0.32,0,382,1,18,0,3,1,13013.67,1798.25,39041.02,159,17,2.7,12,0,0,0,0,0,0,0,0,0,0,-1,0,1,0
91.78,0.09,0.02,0,172,1,16,0,4,1,994.61,286.3,4470.96,145,4,3.1,2,1,1,0,1,0,0,1,2,0,0,-1,0,0,0
37585.62,15.14,5.35,1,0,0,1,0,2,1,2481.98,440.8,7027.96,116,6,6.0,3,1,1,0,0,0,0,0,4,0,0,-1,0,0,1
1618.05,0.82,0.23,0,325,1,16,0,1,1,1977.53,1219.27,6966.09,12,7,5.9,9,0,1,0,0,0,0,0,0,0,0,-1,0,0,0
40792.3,38.59,13.28,1,0,0,19,0,1,0,1056.96,906.37,3072.83,162,3,2.1,9,0,1,0,0,0,0,1,4,0,0,-1,0,0,1
901.18,0.74,0.21,1,262,1,14,0,0,1,1225.68,776.86,4233.55,130,15,7.1,7,0,0,0,0,0,0,2,0,0,0,-1,0,2,0
161.95,0.45,0.1,0,187,1,17,0,2,3,358.0,290.63,1702.91,116,19,3.6,2,0,1,0,0,0,0,1,1,0,0,-1,0,2,0
29647.46,10.53,4.89,0,27,1,10,0,5,0,2815.87,297.14,6061.22,144,7,4.2,14,1,1,1,0,0,0,2,2,0,0,-1,0,0,0
47352.24,23.0,7.74,1,0,0,15,0,2,0,2059.2,1908.46,6117.07,193,20,7.9,11,0,1,0,0,0,0,0,3,1,0,-1,0,1,1
13330.7,3.26,1.02,0,43,1,9,1,4,2,4092.58,280.9,13008.69,123,5,0.9,13,0,1,0,0,0,1,0,2,0,0,-1,0,0,0
33369.74,16.48,6.74,1,0,0,4,0,6,5,2024.62,289.92,4950.51,96,7,6.0,2,1,0,1,0,0,0,4,5,0,0,-1,0,0,1
4569.83,5.36,1.67,0,309,1,2,0,5,0,852.36,215.68,2744.52,233,3,3.2,13,0,1,0,0,0,0,1,1,0,0,-1,0,1,0
68282.4,115.02,49.47,0,13,0,21,0,4,0,593.65,1377.33,1380.25,17,15,5.6,4,0,0,1,0,0,0,0,0,1,3,14,1,5,1
72277.78,7.12,1.11,0,415,1,15,0,5,3,10149.87,379.18,65050.0,193,9,7.2,11,0,1,0,0,0,0,2,0,0,0,-1,0,1,0
385.7,0.2,0.06,0,56,1,17,0,0,1,1910.18,586.65,6862.52,243,18,2.0,13,0,0,0,0,0,0,2,2,0,0,-1,0,2,0
27001.56,34.85,14.82,1,0,0,2,0,1,1,774.72,456.79,1822.11,219,11,1.7,13,0,1,1,0,0,0,0,2,0,0,-1,0,2,1
1327.8,0.72,0.24,1,195,0,16,0,4,2,1836.85,464.83,5576.56,150,13,0.5,14,0,0,0,0,0,1,1,0,0,0,-1,0,0,0
14490.76,3.3,1.22,1,22,1,16,0,2,1,4395.85,578.74,11911.08,85,12,6.9,0,0,0,0,0,0,0,2,2,0,0,-1,0,0,0
79944.9,27.16,8.74,0,13,0,15,0,5,2,2943.11,308.45,9150.11,112,18,2.2,5,1,0,0,0,0,0,1,2,1,2,50,0,4,1
80825.72,24.2,6.19,0,3,0,16,0,4,3,3340.22,638.26,13061.99,38,4,5.7,13,0,1,0,0,1,0,1,3,1,3,46,0,5,1
67163.48,24.89,6.28,0,14,0,11,0,0,2,2698.8,1169.23,10694.53,205,17,3.4,6,1,0,1,0,0,0,0,0,1,4,8,1,4,1
46482.74,6.32,1.11,0,627,1,18,0,2,2,7354.99,822.68,41834.47,106,12,3.8,2,0,0,0,0,0,0,1,1,0,0,-1,0,2,0
67017.02,22.23,6.99,0,9,0,17,0,2,3,3014.7,3993.15,9592.37,235,7,3.7,7,1,1,0,0,0,0,2,3,1,3,57,1,1,1
1118.76,0.58,0.16,0,242,1,22,0,1,2,1926.05,257.27,7067.8,214,12,2.0,12,1,0,0,0,0,0,0,1,0,0,-1,0,2,0
25072.81,1.65,0.55,0,582,1,8,0,1,2,15193.63,338.93,45580.89,121,17,5.3,9,1,0,0,0,0,0,2,0,0,0,-1,0,0,0
20135.1,26.32,13.15,1,1,0,2,0,0,3,764.95,490.54,1531.61,199,11,5.9,11,0,1,0,0,0,0,0,2,1,4,41,1,2,1
393.01,0.26,0.07,0,146,1,8,0,0,0,1531.24,2038.88,5680.76,38,13,3.6,12,0,1,0,0,0,0,0,2,0,0,-1,0,0,0
1615.79,2.93,0.93,0,292,1,13,0,1,1,552.32,182.04,1736.31,79,3,4.6,13,1,1,0,1,0,0,1,0,0,0,-1,0,0,0
52424.37,21.68,9.29,0,13,0,8,0,0,1,2418.14,891.67,5641.31,162,2,6.8,3,0,1,1,0,0,1,0,2,1,3,16,1,2,1
76.96,0.08,0.03,0,268,1,20,0,1,0,954.16,1001.57,2444.48,3,12,7.3,14,1,1,0,0,0,0,2,2,0,0,-1,0,1,0
12609.89,3.87,0.83,0,53,1,6,0,2,2,3258.26,1035.65,15184.32,95,13,1.3,4,1,1,0,0,0,0,2,1,0,0,-1,0,1,0
52464.88,80.66,41.04,1,0,0,3,0,5,1,650.46,282.3,1278.47,207,15,6.9,11,1,0,0,0,0,0,1,1,0,0,-1,0,2,1
66752.03,45.12,19.83,0,8,0,23,0,0,2,1479.34,446.76,3366.2,234,7,5.7,0,1,1,0,0,0,0,0,2,1,3,50,0,6,1
26960.52,16.51,6.14,1,0,0,1,0,7,2,1632.85,1084.69,4390.97,228,10,1.1,14,1,0,1,1,0,0,2,5,0,0,-1,0,0,1
16801.37,5.49,1.11,1,8,0,20,0,1,3,3060.59,186.98,15149.58,228,17,1.3,4,1,0,0,0,0,0,1,1,0,0,-1,0,0,0
626.27,0.74,0.22,0,256,1,4,0,5,0,846.78,713.21,2817.32,109,11,6.1,3,0,1,0,0,0,0,0,2,0,0,-1,0,0,0
25845.73,1.75,0.58,0,99,1,8,0,1,2,14781.92,888.08,44345.76,47,3,7.0,7,0,1,0,0,0,0,2,2,0,0,-1,0,0,0
442.91,1.36,0.35,0,54,1,8,1,5,0,325.35,394.52,1258.52,99,20,7.9,9,0,1,0,0,0,0,0,0,0,0,-1,0,0,0
43935.38,35.08,15.45,1,0,0,1,0,5,5,1252.37,1236.3,2844.02,83,6,2.7,8,1,0,1,0,0,0,4,3,0,0,-1,0,0,1
11235.84,10.18,3.61,1,0,0,16,0,4,5,1103.35,717.06,3115.82,61,17,0.9,14,1,0,1,1,1,0,3,4,0,0,-1,0,1,1
12722.89,3.21,1.22,1,17,0,6,0,4,1,3960.84,420.8,10430.23,167,8,6.4,3,1,0,0,0,0,0,1,2,0,0,-1,0,1,0
50.1,0.03,0.01,0,196,1,15,0,2,2,1732.21,1093.43,7748.88,229,8,6.0,13,0,0,0,0,0,0,2,1,0,0,-1,0,2,0
55444.88,26.9,10.24,1,0,0,14,0,1,1,2061.48,348.82,5411.98,31,10,5.4,8,0,1,0,0,0,0,2,1,0,0,-1,0,2,1
20769.89,6.71,1.58,0,2,1,12,0,1,2,3095.2,428.02,13110.9,23,14,3.5,11,1,1,0,0,0,0,0,0,0,0,-1,0,0,0
215.0,0.27,0.06,0,196,1,2,0,2,1,783.28,580.7,3872.53,194,18,6.7,9,0,1,0,1,0,0,0,0,0,0,-1,0,2,0
139679.66,13.93,1.11,0,400,1,3,0,0,0,10030.02,1573.07,125711.69,128,11,5.6,2,1,0,0,0,0,0,1,1,0,0,-1,0,0,0
587.81,0.3,0.07,0,90,1,10,0,4,0,1978.86,850.58,8482.03,227,19,4.6,10,0,1,0,0,0,0,1,1,0,0,-1,0,2,0
43560.6,18.81,6.41,1,0,0,21,0,1,1,2315.67,482.11,6797.4,236,7,5.3,4,0,1,0,0,1,0,0,3,0,0,-1,0,1,1
13158.53,3.6,1.36,1,25,1,6,1,2,2,3657.61,545.56,9646.64,250,20,7.5,6,1,0,0,0,0,0,1,1,0,0,-1,0,1,0
70179.49,38.2,11.08,0,10,0,5,0,4,0,1837.33,1335.19,6333.01,22,8,0.6,0,0,1,0,0,0,0,0,1,1,3,43,1,4,1
926.05,0.49,0.12,0,346,1,3,0,1,0,1872.32,393.33,7972.24,171,14,6.3,4,0,1,1,0,0,0,1,1,0,0,-1,0,0,0
428.57,0.48,0.1,0,19,1,21,0,2,0,893.09,317.97,4404.61,180,7,4.8,4,1,1,1,0,0,0,1,2,0,0,-1,0,1,0
1114.58,0.64,0.22,1,48,1,23,0,3,1,1741.27,514.3,5053.32,26,18,3.2,4,0,1,1,0,0,0,0,1,0,0,-1,0,1,0
27516.55,24.33,9.58,1,0,0,4,0,5,4,1131.08,1523.8,2871.07,99,6,3.7,6,1,0,1,0,0,0,3,4,0,0,-1,0,1,1
127.78,0.1,0.04,1,264,1,2,0,5,2,1334.96,1507.79,3542.67,65,5,7.9,3,0,0,0,0,0,0,0,2,0,0,-1,0,1,0
55666.82,19.0,6.8,0,5,0,2,0,5,1,2930.51,740.78,8186.06,110,2,1.2,4,0,1,0,0,0,0,1,2,1,2,15,0,4,1
148743.23,11.24,1.11,0,661,1,5,0,2,1,13238.95,595.84,133868.91,184,8,7.5,4,0,1,0,0,0,1,2,1,0,0,-1,0,0,0
1046.05,0.57,0.28,0,280,1,15,1,3,3,1850.65,1276.47,3712.35,237,12,3.4,8,0,0,0,0,0,0,1,1,0,0,-1,0,2,0
36346.62,50.01,22.68,1,0,0,11,0,2,0,726.77,577.58,1602.37,121,15,6.3,14,1,0,0,0,1,0,0,4,0,0,-1,0,3,1
29908.91,21.0,7.63,1,0,0,14,0,4,0,1424.53,317.24,3921.46,184,5,7.1,0,1,1,0,0,0,0,2,2,0,0,-1,0,3,1
991.3,2.18,0.58,0,69,0,14,0,4,1,454.74,366.28,1702.65,111,7,5.1,12,1,1,0,0,0,0,0,0,0,0,-1,0,1,0
361.36,0.36,0.08,0,188,1,8,1,5,0,990.64,310.8,4320.57,77,18,3.4,14,0,1,0,0,0,0,2,2,0,0,-1,0,1,0
15459.15,0.68,0.23,0,519,1,3,0,3,0,22753.04,630.08,68259.13,177,19,5.6,8,0,1,1,0,0,0,2,2,0,0,-1,0,1,0
746.31,0.52,0.19,1,354,1,0,0,1,2,1425.72,678.52,3966.74,246,16,1.3,6,1,1,0,0,1,0,2,2,0,0,-1,0,0,0
70245.29,42.26,18.49,1,0,0,6,0,3,0,1662.15,503.13,3799.56,136,12,1.0,10,1,1,1,0,0,0,1,4,0,0,-1,0,1,1
10669.82,2.95,0.8,0,8,1,10,0,5,3,3613.71,441.62,13370.8,156,13,2.9,14,1,1,0,0,0,0,0,2,0,0,-1,0,0,0
28239.87,6.72,2.36,1,2,0,8,0,0,0,4203.59,189.7,11951.2,77,16,4.8,7,1,1,1,0,0,0,0,0,0,0,-1,0,0,0
793.4,1.35,0.33,0,214,1,14,0,3,1,589.41,1436.71,2405.31,67,7,5.3,1,0,0,0,0,0,0,2,0,0,0,-1,0,2,0
9514.35,5.17,1.99,1,0,0,19,0,7,3,1839.03,477.2,4780.04,3,6,1.3,9,1,0,1,1,0,0,5,2,0,0,-1,0,2,1
55240.93,27.85,12.43,1,0,0,10,0,4,2,1983.72,542.06,4445.67,99,5,5.5,10,1,1,0,0,0,0,2,4,0,0,-1,0,0,1
19427.87,7.8,1.59,0,54,0,22,0,3,0,2491.19,591.86,12194.43,67,8,4.6,3,0,1,0,1,0,0,0,2,0,0,-1,0,1,0
1167.98,0.77,0.15,0,349,1,0,0,5,0,1522.68,322.45,7560.44,188,2,1.1,2,0,0,0,0,0,0,2,2,0,0,-1,0,2,0
1054.35,0.59,0.26,1,5,1,18,0,2,3,1775.57,1201.19,4105.54,158,4,1.3,3,1,1,0,0,0,0,1,1,0,0,-1,0,1,0
8866.72,6.8,1.62,1,73,0,5,0,0,3,1304.36,1031.05,5463.87,66,19,3.9,13,0,0,0,0,1,0,2,0,0,0,-1,0,0,0
16091.78,4.73,1.68,0,87,1,1,0,1,3,3405.19,516.06,9568.26,28,9,0.7,11,0,1,0,0,0,0,1,2,0,0,-1,0,0,0
1007.05,1.81,0.57,0,299,1,3,0,1,2,556.74,770.46,1764.49,202,9,6.8,10,0,0,0,0,0,0,0,0,0,0,-1,0,2,0
562.25,0.77,0.17,0,317,1,10,0,5,1,731.62,826.1,3242.77,222,19,2.0,8,0,1,0,0,0,0,1,0,0,0,-1,0,1,0
44327.75,3.18,1.06,0,286,1,20,0,3,1,13933.51,951.35,41800.52,76,15,1.2,13,0,0,0,0,0,0,2,2,0,0,-1,0,2,0
295.63,0.25,0.09,0,362,0,0,0,2,1,1202.56,494.49,3475.13,222,20,6.1,0,1,1,0,0,0,0,1,2,0,0,-1,0,2,0
39273.69,22.87,8.9,1,0,0,20,0,7,2,1717.47,269.66,4412.86,193,9,6.6,7,1,0,1,1,1,0,4,4,0,0,-1,0,0,1
309.14,0.16,0.04,1,290,1,4,0,4,1,1903.98,478.44,8245.21,10,10,5.1,14,1,1,0,0,0,0,1,1,0,0,-1,0,1,0
60752.96,5.15,1.11,0,202,1,23,0,5,1,11789.93,496.23,54677.66,257,3,3.6,5,0,1,0,0,0,0,0,1,0,0,-1,0,0,0
343.79,0.19,0.04,1,253,1,2,0,1,3,1803.9,298.54,7668.87,138,2,3.4,12,0,0,0,0,0,0,1,0,0,0,-1,0,0,0
28440.08,24.9,9.99,0,32,1,13,1,0,3,1141.98,178.37,2846.33,224,9,5.5,4,1,0,1,0,0,0,2,0,0,0,-1,0,1,0
4147.45,4.24,1.18,0,1,1,9,0,5,1,977.86,687.81,3512.51,142,8,2.5,13,1,1,0,0,0,0,0,1,0,0,-1,0,0,0
40786.48,14.89,6.26,1,0,0,5,0,6,5,2739.81,1220.85,6511.82,106,19,5.5,2,1,0,1,1,1,0,2,5,0,0,-1,0,2,1
394.89,0.67,0.2,0,324,1,17,0,4,3,586.89,525.83,1966.78,70,5,3.8,2,0,1,0,0,0,0,0,1,0,0,-1,0,0,0
80084.13,5.1,1.11,0,375,1,3,1,3,1,15709.55,494.81,72075.72,268,7,6.8,8,0,1,0,0,0,1,1,2,0,0,-1,0,2,0
10665.58,0.45,0.15,0,213,1,17,0,5,1,23634.11,309.92,70902.33,146,4,2.8,0,0,1,0,0,0,0,0,1,0,0,-1,0,1,0
15357.38,8.76,4.28,0,65,1,19,0,5,2,1753.72,490.39,3589.07,111,8,6.0,10,0,0,0,0,0,0,1,1,0,0,-1,0,0,0
2510.6,1.36,0.65,0,48,1,2,0,2,3,1841.57,210.61,3863.75,88,9,4.5,4,0,0,0,0,0,0,2,0,0,0,-1,0,0,0
42506.61,31.81,15.54,1,0,0,21,0,8,3,1336.27,479.65,2735.82,110,3,4.0,2,1,0,1,1,0,0,2,5,0,0,-1,0,2,1
149465.43,17.34,1.11,0,279,1,18,0,3,2,8619.36,1666.08,134518.89,253,4,2.0,3,0,0,0,0,0,0,1,2,0,0,-1,0,0,0
24332.05,7.39,2.2,1,5,1,2,0,1,0,3291.44,350.98,11051.15,174,7,6.3,11,0,0,0,0,0,0,0,0,0,0,-1,0,1,0
